iteration,bidder,bundle,active
0,1,"[8, 2]",False
0,1,"[8, 1, 2, 3]",False
0,1,"[8, 2, 7]",False
0,1,"[1, 2, 7, 8, 9]",False
0,1,"[0, 9, 2, 4]",False
0,1,"[0, 2, 4]",False
0,1,"[8, 1, 14, 7]",False
0,1,"[2, 14, 7]",False
0,1,"[1, 2, 7, 9, 14]",False
0,1,"[8, 2, 4]",False
0,1,"[3, 4]",False
0,1,"[8, 9, 4, 7]",False
0,1,"[0, 2]",False
0,1,"[0, 1, 2, 14]",False
0,1,"[9, 3, 4, 7]",False
0,1,"[0, 1, 8, 9, 14]",False
0,1,"[0, 1, 3, 9, 14]",False
0,1,"[2, 3, 4, 7, 8]",False
0,1,"[0, 14, 7]",False
0,1,"[2, 4]",False
0,1,"[8, 3, 4]",False
0,1,"[0, 9, 2, 14]",False
0,1,"[8, 1, 4, 7]",False
0,1,"[1, 2, 4, 7, 9]",False
0,1,"[0, 1, 9]",False
0,1,"[0, 4, 7, 8, 14]",False
0,1,"[8, 3]",False
0,1,"[0, 1, 8, 9]",False
0,1,"[2, 4, 14, 7]",False
0,1,"[4, 7, 8, 9, 14]",False
0,1,"[0, 1, 2, 4, 7, 8]",False
0,1,"[1, 2, 4, 8, 9]",False
0,1,"[0, 1, 2, 3, 4, 8, 14]",False
0,1,"[0, 1, 2, 3, 8, 14]",False
0,1,"[0, 2, 3, 4, 7, 8, 9]",False
0,1,"[1, 7]",False
0,1,"[1, 2, 7]",False
0,1,"[1, 3, 4, 7, 9, 14]",False
0,1,"[0, 2, 3, 14]",False
0,1,"[0, 3, 8, 9, 14]",False
0,1,"[1, 2, 3, 4, 7]",False
0,1,"[0, 1, 2, 3, 8, 9]",False
0,1,"[2, 14]",False
0,1,"[0, 1, 2, 3, 9, 14]",False
0,1,"[0, 1, 3, 4, 7]",False
0,1,"[2, 3, 8, 9, 14]",False
0,1,"[1, 3, 7, 8, 9, 14]",False
0,1,"[0, 1, 2, 3, 4, 7, 8, 14]",False
0,1,"[0, 1, 2, 4, 14]",False
0,1,"[1, 3, 9, 7]",False
0,1,"[0, 3, 4, 9, 14]",False
0,1,"[1, 2, 3, 7, 8]",False
0,1,"[0, 3, 4, 7, 8, 14]",False
0,1,"[0, 1, 2, 7, 8, 9, 14]",False
0,1,"[9, 3]",False
