iteration,bidder,bundle,active
0,1,"[17, 4, 5, 9, 10]",False
0,1,"[9, 11, 5]",False
0,1,"[16, 17, 4, 5, 10, 11]",False
0,1,"[17, 4, 5, 10, 11]",False
0,1,"[16, 9, 4, 17]",False
0,1,[10],False
0,1,"[16, 17, 5, 10, 11]",False
0,1,"[16, 17, 5, 9, 10]",False
0,1,"[17, 4, 9, 10, 11]",False
0,1,"[16, 4, 5, 9, 10, 11]",False
0,1,"[16, 17]",False
0,1,"[16, 11, 4]",False
0,1,"[16, 10, 4, 5]",False
0,1,"[9, 10, 4, 5]",False
0,1,[16],False
0,1,"[16, 17, 10]",False
0,1,"[16, 9, 11]",False
0,1,"[16, 10, 5]",False
0,1,"[16, 17, 4, 5, 11]",False
0,1,"[16, 10, 11, 5]",False
0,1,"[17, 11, 4]",False
0,1,"[10, 5]",False
0,1,"[16, 10, 11]",False
0,1,"[16, 9, 10, 11]",False
0,1,"[16, 17, 10, 5]",False
0,1,"[16, 10, 4]",False
0,1,"[16, 10, 11, 4]",False
0,1,"[16, 9, 4, 5]",False
0,1,"[16, 11, 4, 5]",False
0,1,"[10, 4]",False
0,1,"[17, 10, 11]",False
0,1,"[9, 10, 11, 17]",False
0,1,"[9, 5, 17]",False
0,1,"[4, 5, 9, 10, 11]",False
0,1,"[4, 5]",False
0,1,"[17, 11, 5]",False
0,1,"[9, 11, 5, 17]",False
0,1,"[16, 9, 11, 4]",False
0,1,"[16, 5]",False
0,1,"[16, 5, 9, 10, 11]",False
0,1,"[9, 17]",False
0,1,"[10, 11]",False
0,1,"[9, 11, 4]",False
0,1,"[17, 10, 4]",False
0,1,"[9, 5]",False
0,1,"[11, 5]",False
0,1,"[17, 4, 5]",False
0,1,"[16, 17, 4, 9, 10]",False
0,1,"[16, 9, 5, 17]",False
0,1,"[16, 17, 4, 5, 9]",False
0,1,"[9, 11]",False
0,1,"[9, 4, 17]",False
0,1,"[9, 11, 4, 17]",False
0,1,"[17, 10, 4, 5]",False
0,1,"[16, 4, 9, 10, 11]",False
0,1,"[16, 4, 5, 9, 11]",False
0,1,"[9, 10, 11]",False
0,1,"[17, 10, 11, 5]",False
0,1,"[9, 10, 5, 17]",False
0,1,[5],False
0,1,"[16, 17, 4, 5, 9, 11]",False
0,1,"[16, 17, 10, 4]",False
0,1,[],False
0,1,"[16, 17, 4, 5]",False
0,1,"[17, 11, 4, 5]",False
0,1,"[16, 17, 4, 10, 11]",False
0,1,"[16, 17, 10, 11]",False
0,1,"[16, 4, 5, 10, 11]",False
0,1,"[16, 17, 11, 5]",False
0,1,"[17, 5, 9, 10, 11]",False
0,1,"[9, 4, 5]",False
0,1,"[16, 17, 5, 9, 10, 11]",False
0,1,"[16, 9, 11, 17]",False
0,1,"[16, 9, 17]",False
0,1,"[11, 4]",False
0,1,"[16, 17, 4, 5, 9, 10]",False
0,1,"[17, 10, 5]",False
0,1,"[16, 9, 10, 4]",False
0,1,"[16, 17, 11, 4]",False
0,1,"[16, 9]",False
0,1,[17],False
0,1,"[9, 10, 17]",False
0,1,"[17, 4, 5, 9, 11]",False
0,1,"[9, 10, 11, 5]",False
0,1,"[16, 10]",False
0,1,"[16, 9, 4]",False
0,1,"[9, 10]",False
0,1,"[9, 10, 4, 17]",False
0,1,"[9, 4, 5, 17]",False
0,1,"[16, 9, 10, 17]",False
0,1,"[16, 17, 5]",False
0,1,"[16, 4, 5, 9, 10]",False
0,1,"[9, 10, 11, 4]",False
0,1,"[17, 10]",False
0,1,"[10, 11, 4]",False
0,1,"[9, 11, 4, 5]",False
0,1,"[17, 5]",False
0,1,"[11, 4, 5]",False
0,1,"[16, 4]",False
0,1,"[16, 17, 11]",False
0,1,"[16, 11, 5]",False
0,1,"[16, 9, 11, 5]",False
0,1,"[9, 4]",False
0,1,"[9, 11, 17]",False
0,1,"[16, 11]",False
0,1,"[16, 17, 4]",False
0,1,"[16, 4, 5]",False
0,1,"[17, 4]",False
0,1,"[16, 17, 4, 9, 10, 11]",False
0,1,"[9, 10, 5]",False
0,1,"[10, 11, 5]",False
0,1,"[16, 17, 9, 10, 11]",False
0,1,[11],False
0,1,[9],False
0,1,"[16, 17, 5, 9, 11]",False
0,1,"[17, 10, 11, 4]",False
0,1,"[17, 11]",False
0,1,"[10, 11, 4, 5]",False
0,1,"[10, 4, 5]",False
0,1,[4],False
0,1,"[16, 9, 10, 5]",False
0,1,"[9, 10, 4]",False
0,1,"[16, 17, 4, 5, 9, 10, 11]",True
0,1,"[16, 9, 10]",False
0,1,"[16, 17, 4, 9, 11]",False
0,1,"[16, 17, 4, 5, 10]",False
0,1,"[17, 4, 5, 9, 10, 11]",False
0,1,"[16, 9, 5]",False
1,1,"[17, 4, 5, 9, 10]",False
1,1,"[9, 11, 5]",False
1,1,"[16, 17, 4, 5, 10, 11]",False
1,1,"[17, 4, 5, 10, 11]",False
1,1,"[16, 9, 4, 17]",False
1,1,[10],False
1,1,"[16, 17, 5, 10, 11]",False
1,1,"[16, 17, 5, 9, 10]",False
1,1,"[17, 4, 9, 10, 11]",False
1,1,"[16, 4, 5, 9, 10, 11]",False
1,1,"[16, 17]",False
1,1,"[16, 11, 4]",False
